Title,Title 2,Content,Dictionary Categories,Slug
ไฟฟ้ากระแสสลับ,AC (Alternating Current Electricity),หมายถึงกระแสที่มีทิศทางไปและกลับตลอดระยะเวลา มีการสลับขั้วบวกและลบกันอยู่ตลอดเวลา,General,
ตัวแปลงกระแสไฟฟ้า (กระแสสลับเป็นกระแสตรง),AC DC converter,เพื่อแปลงรูปคลื่นกระแสสลับเปลี่ยนจากขนาดเฉพาะและความถี่เฉพาะเป้นรูปคลื่นกระแสสลับที่มีขนาดและความถี่แตกต่างกัน,General,
รอบเครื่องยนต์,Accelerator,เวลาใช้งานรถกระเช้าต้องใช้เครื่องยนต์ การเร่งเครื่องยนต์เพือให้ความเร็วรอบสูง,General,
รถกระเช้า (รถลิฟท์กระเช้า),Aerial Work Platform,"กระเช้าทำงานที่สูง รถกระเช้าทั่วไป,บูมลิฟท,กรรไกร,Sky Master,Spider Lift,Man Lift ",Boom Lift,
รถกระเช้า,Aerial Work Platform (Truck Mounted),รถบรรทุกที่ประกอบตัวกระเช้าด้านบน สามารถวิ่งบนถนนได้,Skymaster,
เครื่องกำเนิดไฟฟ้ากระแสสลับ,Alternator,คือเครื่องที่แปลงพลังงานกลเป็นพลังงานไฟฟ้า,General,
หน่วยของกระแสไฟฟ้า,Ampere (A),,General,
เป็นรถกระเช้าแบบแขนพับที่สามารถเคลื่อนที่ได้ด้วยตนเอง,Articulating Boom,โมเดลรุ่น Z ทั้งหมด(Genie),Boom Lift,
ชุด,Assy,อุปกรณ์หรือสินค้าที่ขายเป็นชุด,General,
มอเตอร์สำรอง,Auxiary Motor,ใช้กรณีฉุกเฉิน สำหรับเก็บขาช้าง เก็บบูมเวลามอเตอร์หลักมีปัญหา,Boom Lift,
ตัวกระเช้า,Basket,ตัวกระเช้าอยู่ข้างบน สำหรับให้คนขึ้นไปทำงานที่สูง,Skymaster,
ตัวแสดงระดับแบตเตอรี่,BCI (Battery Charger Indicator),รถกระเช้าไฟฟ้าจะมีไฟโชว์แสดงว่าแบตเตอรี่เหลือเท่าไหร่,Boom Lift,
น๊อต,Bolt,ใช้สำหรับขัน ยึด อุปกรณ์,General,
บูม,Boom,บูมที่ยกขึ้นหรือหดได้,Boom Lift,
อุปกรณ์ตรวจสอบองศาของบูม,Boom Angle Sensor,รถกระเช้าจะมีเซนเซอร์เพื่อคิดองศาของบูมเวลาทำงาน,Boom Lift,
ยกบูมขึ้น,Boom Elevation,,Boom Lift,
อุปกรณ์ตรวจสอความยาวของบูม,Boom Length Sensor,รถกระเช้ามีระบบเซฟตี้วัดเมื่อเวลายืดบูมหดบูม,Boom Lift,
บูมลิฟท์,Boom Lift,รถกระเช้าที่เหมาะสำหรับการทำงานที่มีระยะเอื้อม สามารถขับเคลื่อนได้ด้วยตัวเอง,Boom Lift,
การหมุนของบูม,Boom Rotation,บูมสามารถหมุนได้ 360องศา,Boom Lift,
รถกระเช้าแขนบูมตรง,Boom Telescopic,รถกระเช้าที่สามารถยืดบูมตรงได้อย่างเดียว แต่ถ้ามีสิ่งของขสางอยู่ไม่สามารถทำงานได้,Boom Lift,
โลหะฉาก,Bracket,สำหรับติดตั้งเพื่อรับรองผยุงหรือค้ำยัน,Boom Lift,
มอเตอร์ แปรงถ่าน,Brush Motor,ถ้าไม่มีแปรงถ่านมอเตอร์จะไม่ทำงาน และถ้าตัวทุ่นไม่เท่ากันแปรงถ่านก็จะไม่ทำงาน,Boom Lift,
การสอบเทียบเครื่องมือวัด,Calibrate,การวัดค่าเครื่องมือที่ใช้งานให้มีมาตรฐาน,Boom Lift,
วาล์วกันย้อนกลับ,Check Valve,คืออุปกรณ์ในระบบการไหล ทำหน้าที่ควบคุมให้น้ำไหลไปในทิศทางเดียว ป้องกันไม่ให้น้ำมันไหลย้อนกลับเมื่อปั๊มน้ำหยุดทำงาน ใช้ติดตั้งคู่กับปั๊มน้ำ เพื่อป้องกันไม่ให้น้ำไหลย้อนกลับเข้าตัวปั๊มเมื่อไม่มีการเปิดใช้น้ำ ,Boom Lift,
ตัวเชื่อม,Connector,เป็นลักษณะตัวเชื่อมต่อระหว่างสายตัวผู้กับตัวเมีย ปลั๊กตัวผู้มาเสียบต่อ โดยจำนวนรูเท่ากับขาของปลั๊กตัวคู่กัน,General,
คอนแท็คขับเคลื่อน,Contactor Drive,ตัวควบคุมมอเตอร์ ไดรฟ์ ให้ขยับ เลี้ยวได้,Boom Lift,
วาล์วป้องกันลิฟท์ไหล,Counter Balance Valve,,General,
,CPU Board,เมนบอร์ด,General,
อุปกรณ์ปรับความเร็ว,Creep Switch,ตัวปรับความเร็วแขนบูม,General,
กระบอกไฮดรอลิค,Cylinder,,General,
กระแสตรง,DC (Direct Current),ที่ไฟฟ้าจะไหลไปในทิศทางเดียวและไม่ไหลกลับ เช่น ไฟฟ้าที่ได้จากถ่านไฟฉาย แบตเตอรี่ของรถยนต์ เป็นต้น,General,
การกำหนด (ตัวสติกเกอร์),Decale,การกำหนดทิศทางของโปรแกรมหรือคำสั่ง,General,
เส้นผ่าศูนย์กลาง,Diameter,เส้นผ่าศูนย์กลางของเฟืองล้อ,General,
หลอดอิเล็กตรอน (ไดโอด),Diode,อุปกรณ์ทางอิเล็กทรอนิกส์ซึ่งมีขั้วไฟฟ้า 2 ขั้นยอมให้กระแสไหลผ่านได้ทางเดียวใช้เป็นเครื่องแปลงไฟฟ้ากระแสสลับให้เป็นไฟฟ้ากระแสตรง โดยมีหลายชนิด,General,
การวาดภาพ,Drawing,การเขียนแบบ,General,
,Drive Motor,มอเตอร์ในการขับเคลื่อนให้รถเดินหน้าถอยหลัง,Boom Lift,
สายไฟ,Electric Cable,,General,
