ID,Title,Content,Excerpt,Date,Post Type,Permalink,WPML Translation ID,WPML Language Code,Image URL,Image Title,Image Caption,Image Description,Image Alt Text,Image Featured,Attachment URL,_wpml_word_count,category,_category,picture,_picture,ss_body,_ss_body,ss_headline,_ss_headline,_wpml_media_duplicate,_aioseo_title,_aioseo_description,_aioseo_keywords,_aioseo_og_title,_aioseo_og_description,_aioseo_og_article_section,_aioseo_og_article_tags,_aioseo_twitter_title,_aioseo_twitter_description,Status,Author ID,Author Username,Author Email,Author First Name,Author Last Name,Slug,Format,Template,Parent,Parent Slug,Order,Comment Status,Ping Status,Post Modified Date,Section 1,Section 2,Section 3,Section 4,Section 5,Section 6,Contact,Header sub title,Menu,Footer,Category,Picture,PDF File,Machine Picture,Machine,Work Place,Date,Purpose,Feedback,Comment,Short Content,URL
2440,ข้อควรระวังในการใช้งานรถกระเช้า Boom Lift & Scissors Lift,"

1.ตรวจสอบพื้นที่การใช้งานว่ามีสิ่งกีดขวางอยู่ด้านบนหรือด้านหลังหรือไม่

2.ระวังการงับมือหรือแขนเมื่อยกระดับกระเช้าขึ้นไปบนพื้นที่แคบอันเป็นผลให้มือหรือแขนที่อยู่นอกกระเช้าโดนเบียดทับ

3.ห้ามลดระดับกระเช้าลงเมื่อมีคนหรือสิ่งกีดขวางด้านล่างที่กระเช้าจะลดระดับลงมา

4.ให้ใช้ความระมัดระวังในการเข็นเคลื่อนที่ลิฟต์กระเช้าไปในที่ลาดเอียง

",,2021-04-06 4:15:08,tips,https://token-thailand.local/tips/2440/,2440,th,https://token-thailand.local/wp-content/uploads/2021/04/pdf3-01.jpg|https://token-thailand.local/wp-content/uploads/2021/04/pdf3-01.jpg,pdf3-01|pdf3-01,|,|,ข้อควรระวังในการใช้งานรถกระเช้า|,,https://token-thailand.local/wp-content/uploads/2021/04/pdf3-01.pdf|https://token-thailand.local/wp-content/uploads/2021/04/pdf3-01.pdf,,Skymaster,field_606beb4193e7b,2447,field_606bf4a842b5a,,field_606c083fa5872,,field_606c0899a5873,1,,,,,,,,,,publish,1,tokenweb,t-gondo@token-thailand.local,,,2440,,,0,0,0,closed,closed,2022-11-03 4:45:51,,,,,,,,,,,boom_lift|scissors_lift,https://token-thailand.local/wp-content/uploads/2021/04/pdf3-01.jpg,https://token-thailand.local/wp-content/uploads/2021/04/pdf3-01.pdf,https://token-thailand.local/wp-content/uploads/2021/04/pdf3-01.jpg,,,,,,,,
2458,วงเลี้ยวด้านใน / วงเลี้ยวด้านนอก Boom Lift & Scissors Lift,"

ตัวอย่าง!!

ในกรณีที่ Z30 ต้องการเลี้ยวไปยังตำแหน่งใหม่ พื้นที่วงล้อด้านในต้องมีความกว้าง 1.65M. และ หากต้องเลี้ยวครั้งเดียว วงล้อด้านนอกต้องมีพื้นที่ 3.23M.แต่ถ้ามีพื้นที่น้อยกว่า 3.23M.ต้องทำการถอยหลังและปรับวงเลี้ยวใหม่อีกครั้ง

",,2021-04-06 15:26:42,tips,https://token-thailand.local/tips/%e0%b8%a7%e0%b8%87%e0%b9%80%e0%b8%a5%e0%b8%b5%e0%b9%89%e0%b8%a2%e0%b8%a7%e0%b8%94%e0%b9%89%e0%b8%b2%e0%b8%99%e0%b9%83%e0%b8%99-%e0%b8%a7%e0%b8%87%e0%b9%80%e0%b8%a5%e0%b8%b5%e0%b9%89%e0%b8%a2/,2458,th,https://token-thailand.local/wp-content/uploads/2021/04/tips-02.jpg|https://token-thailand.local/wp-content/uploads/2021/04/tips-02.jpg,วงเลี้ยวด้านใน / วงเลี้ยวด้านนอก Boom Lift & Scissors Lift|วงเลี้ยวด้านใน / วงเลี้ยวด้านนอก Boom Lift & Scissors Lift,|,|,วงเลี้ยว Boom Lift & Scissors Lift|,,https://token-thailand.local/wp-content/uploads/2021/04/tips-02.pdf|https://token-thailand.local/wp-content/uploads/2021/04/tips-02.pdf,,,,,,,,,field_606c0899a5873,1,,,,,,,,,,publish,1,tokenweb,t-gondo@token-thailand.local,,,%e0%b8%a7%e0%b8%87%e0%b9%80%e0%b8%a5%e0%b8%b5%e0%b9%89%e0%b8%a2%e0%b8%a7%e0%b8%94%e0%b9%89%e0%b8%b2%e0%b8%99%e0%b9%83%e0%b8%99-%e0%b8%a7%e0%b8%87%e0%b9%80%e0%b8%a5%e0%b8%b5%e0%b9%89%e0%b8%a2,,,0,0,0,closed,closed,2022-11-03 4:45:51,,,,,,,,,,,boom_lift|scissors_lift,https://token-thailand.local/wp-content/uploads/2021/04/tips-02.jpg,https://token-thailand.local/wp-content/uploads/2021/04/tips-02.pdf,https://token-thailand.local/wp-content/uploads/2021/04/tips-02.jpg,,,,,,,,
2461,การแก้ไขปัญหารถกระเช้า Genie Boom Lift ระบบไฟฟ้า,"<p> 1.ตัวปรับความเร็ว เต่า-กระต่าย อาการ : บังคับบูมและฟังก์ชั่นอื่นๆช้า  </p>
<p> 2.ฟุตสวิทช์ อาการ : ต้องดึงสวิทช์ E-stop ก่อนถึงเหยียบฟุตสวิทช์  </p>
<p> 3.รถหันหน้าผิดด้าน อาการ : จะทำให้ไม่สามารถบังคับเดินหน้า-ถอยหลังได้(ที่ถูกต้องคือต้องเห็นหมายเลขรถ)  </p>
<p> 4. Error Code (Z60DC) อาการ : แสดงตำแหน่งที่เกิดปัญหา  </p>
<p> 5.ไฟแสดง error (Z45) อาการ : แสดงตำแหน่งที่เกิดปัญหา  </p>
<p> 6.BCI ชำรุด (Z45) อาการ:แบตเตอรี่ใช้งานได้แค่1ชม.ลดลงเร็ว  </p>
<p> 7. Error Code (Z60DC) อาการ : แสดงตำแหน่งที่เกิดปัญหา  </p>
<p> 8. ลิมิตสวิทช์ อาการ : รถจะเดินหน้าถอยหลังช้า กรณีที่เก็บบูมไม่เรียบร้อย  </p>
<p> 9. ทิลเซ็นเซอร์ อาการ : ไม่สามารถยกบูมได้ เนื่องจากพื้นที่ลาดเอียง  </p>
<p> 10.พาวเวอร์ปลั๊ก อาการ : ชาร์ตแบตไม่เข้า เพราะสายด้านในพาวเวอร์ปลั๊กอาจจะหลุด  </p>

",,2021-04-06 15:31:21,tips,https://token-thailand.local/tips/%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b9%81%e0%b8%81%e0%b9%89%e0%b9%84%e0%b8%82%e0%b8%9b%e0%b8%b1%e0%b8%8d%e0%b8%ab%e0%b8%b2%e0%b8%a3%e0%b8%96%e0%b8%81%e0%b8%a3%e0%b8%b0%e0%b9%80%e0%b8%8a%e0%b9%89%e0%b8%b2-g/,2461,th,https://token-thailand.local/wp-content/uploads/2021/04/tips-03.jpg|https://token-thailand.local/wp-content/uploads/2021/04/tips-03.jpg,การแก้ไขปัญหารถกระเช้า Genie Boom Lift ระบบไฟฟ้า|การแก้ไขปัญหารถกระเช้า Genie Boom Lift ระบบไฟฟ้า,|,|,กระเช้า Genie Boom Lift ระบบไฟฟ้า|,,https://token-thailand.local/wp-content/uploads/2021/04/tips-03.pdf|https://token-thailand.local/wp-content/uploads/2021/04/tips-03.pdf,,,,,,,,,field_606c0899a5873,1,,,,,,,,,,publish,1,tokenweb,t-gondo@token-thailand.local,,,%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b9%81%e0%b8%81%e0%b9%89%e0%b9%84%e0%b8%82%e0%b8%9b%e0%b8%b1%e0%b8%8d%e0%b8%ab%e0%b8%b2%e0%b8%a3%e0%b8%96%e0%b8%81%e0%b8%a3%e0%b8%b0%e0%b9%80%e0%b8%8a%e0%b9%89%e0%b8%b2-g,,,0,0,0,closed,closed,2022-11-03 4:45:51,,,,,,,,,,,boom_lift,https://token-thailand.local/wp-content/uploads/2021/04/tips-03.jpg,https://token-thailand.local/wp-content/uploads/2021/04/tips-03.pdf,https://token-thailand.local/wp-content/uploads/2021/04/tips-03.jpg,,,,,,,,
2466,การแก้ไขปัญหารถกระเช้า Genie Boom lift ระบบเครื่องยนต์,"<p> 1. ตัวปรับความเร็ว เต่า-กระต่าย อาการ : บังคับบูมและฟังก์ชั่นอื่นๆช้า  </p>
<p> 2. ฟุตสวิทช์ อาการ : ต้องดึงสวิทช์ E-stop ก่อนถึงเหยียบฟุตสวิทช์  </p>
<p> 3. ความร้อนสูง อาการ : ต้องเปิดฝาเพื่อระบายความร้อน  </p>
<p> 4. รถหันหน้าผิดด้าน อาการ : จะทำให้ไม่สามารถเดินหน้า-ถอยหลังได้(ที่ถูกต้องคือต้องเห็นหมายเลขรถ)  </p>
<p> 5. Error Code (Z80) อาการ : แสดงตำแหน่งที่เกิดปัญหา  </p>
<p> 6. Error Code (Z80) อาการ : แสดงตำแหน่งที่เกิดปัญหา  </p>
<p> 7. ลิมิตสวิทช์ อาการ : รถจะเดินหน้าถอยหลังช้า  กรณีที่เก็บบูมไม่เรียบร้อย  </p>
<p> 8. ทิลเซ็นเซอร์ อาการ : ไม่สามารถยกบูมได้  เนื่องจากพื้นที่ลาดเอียง  </p>
<p> 9. ถังน้ำมัน อาการ : เครื่องดับ ถ้าเป็นรถกระเช้าบูมลิฟท์ ต้องเติมน้ำมันเยอะกว่าปกติ  </p>
<p> 10. กรองโซล่า อาการ : ถ้าน้ำมันสกปรกทำให้สตาร์ทเครื่องไม่ได้  </p>
<p> 11. แบตเตอรี่ อาการ : ลืมปิดสวิทช์ ทำให้แบตหมด จะสตาร์ทเครื่องไม่ได้ </p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",,2021-04-06 15:34:54,tips,https://token-thailand.local/tips/%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b9%81%e0%b8%81%e0%b9%89%e0%b9%84%e0%b8%82%e0%b8%9b%e0%b8%b1%e0%b8%8d%e0%b8%ab%e0%b8%b2%e0%b8%a3%e0%b8%96%e0%b8%81%e0%b8%a3%e0%b8%b0%e0%b9%80%e0%b8%8a%e0%b9%89%e0%b8%b2-2/,2466,th,https://token-thailand.local/wp-content/uploads/2021/04/tips-04.jpg|https://token-thailand.local/wp-content/uploads/2021/04/tips-04.jpg,การแก้ไขปัญหารถกระเช้า Genie Boom lift ระบบเครื่องยนต์|การแก้ไขปัญหารถกระเช้า Genie Boom lift ระบบเครื่องยนต์,|,|,Genie Boom lift ระบบเครื่องยนต์|,,https://token-thailand.local/wp-content/uploads/2021/04/tips-04.pdf|https://token-thailand.local/wp-content/uploads/2021/04/tips-04.pdf,,,,,,,,,field_606c0899a5873,1,,,,,,,,,,publish,1,tokenweb,t-gondo@token-thailand.local,,,%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b9%81%e0%b8%81%e0%b9%89%e0%b9%84%e0%b8%82%e0%b8%9b%e0%b8%b1%e0%b8%8d%e0%b8%ab%e0%b8%b2%e0%b8%a3%e0%b8%96%e0%b8%81%e0%b8%a3%e0%b8%b0%e0%b9%80%e0%b8%8a%e0%b9%89%e0%b8%b2-2,,,0,0,0,closed,closed,2022-11-03 4:45:51,,,,,,,,,,,boom_lift,https://token-thailand.local/wp-content/uploads/2021/04/tips-04.jpg,https://token-thailand.local/wp-content/uploads/2021/04/tips-04.pdf,https://token-thailand.local/wp-content/uploads/2021/04/tips-04.jpg,,,,,,,,,,
2469,การแก้ไขปัญหารถกระเช้า Genie Scissor Lift ระบบไฟฟ้า,"<p> 1. จอยสติกซ์ อาการ : ไม่สามารถบังคับขึ้น-ลง และ เดินหน้า-ถอยหลัง ได้ เลี้ยวไม่ได้ เกิดจากลิมิตสวิทช์เสีย  </p>
<p> 2. สวิทช์ฉุกเฉิน อาการ : ต้องเปิดสวิทช์ฉุกเฉินทั้งด้านบนและล่าง จะใช้งานได้ปกติ   </p>
<p> 3. BCI (ระดับแบตเตอรี่) อาการ : ถ้าแบตเตอรี่น้อย  ยกบูมขึ้นจะรับน้ำหนักได้น้อย  </p>
<p> 4. BCI (Charger) อาการ : สถานะแจ้งระดับแบตเตอรี่  </p>
<p> 5. พาวเวอร์ปลั๊ก อาการ : ชาร์ตแบตไม่เข้า เพราะสายด้านในพาวเวอร์ปลั๊กอาจจะหลุด  </p>
<p> 6. จุดบังคับด้านบน P-Con  อาการ : จะแสดง error จุดที่เกิดปัญหา เกิดจากการใช้งานผิดของผู้ใช้ PHS=Pothole,LL=Tilt Sensor, CH=Key Switch OL=Overload LO=Low Battery  </p>
<p> 7. ทิลเซ็นเซอร์ อาการ : ไม่สามารถยกบูมได้ เนื่องจากพื้นที่ลาดเอียง  </p>
<p> 8.สมาร์ทลิ้ง จุดบังคับด้านล่าง G-Con อาการ : จะแสดง error จุดที่เกิดปัญหา เกิดจากระบบมีปัญหา H002=Coil & Contactor P009=Gcon Smartlink C021=Pcon not detected F129=Tilt Sensor  </p>
<p> 9. สวิทช์กุญแจ อาการ : ต้องบิดสวิทช์กุญแจให้ถูกต้อง บังคับด้านบนหรือด้านล่าง  </p>
<p> 10. Pothole Guard อาการ : ขึ้นได้นิดเดียว เพราะเปิดออกไม่สุด </p>
",,2021-04-06 15:37:37,tips,https://token-thailand.local/tips/%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b9%81%e0%b8%81%e0%b9%89%e0%b9%84%e0%b8%82%e0%b8%9b%e0%b8%b1%e0%b8%8d%e0%b8%ab%e0%b8%b2%e0%b8%a3%e0%b8%96%e0%b8%81%e0%b8%a3%e0%b8%b0%e0%b9%80%e0%b8%8a%e0%b9%89%e0%b8%b2-3/,2469,th,https://token-thailand.local/wp-content/uploads/2021/04/tips-05.jpg|https://token-thailand.local/wp-content/uploads/2021/04/tips-05.jpg,การแก้ไขปัญหารถกระเช้า Genie Scissor Lift ระบบไฟฟ้า|การแก้ไขปัญหารถกระเช้า Genie Scissor Lift ระบบไฟฟ้า,|,|,Genie Scissor Lift ระบบไฟฟ้า|,,https://token-thailand.local/wp-content/uploads/2021/04/tips-05.pdf|https://token-thailand.local/wp-content/uploads/2021/04/tips-05.pdf,,,,,,,,,field_606c0899a5873,1,,,,,,,,,,publish,1,tokenweb,t-gondo@token-thailand.local,,,%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b9%81%e0%b8%81%e0%b9%89%e0%b9%84%e0%b8%82%e0%b8%9b%e0%b8%b1%e0%b8%8d%e0%b8%ab%e0%b8%b2%e0%b8%a3%e0%b8%96%e0%b8%81%e0%b8%a3%e0%b8%b0%e0%b9%80%e0%b8%8a%e0%b9%89%e0%b8%b2-3,,,0,0,0,closed,closed,2022-11-03 4:45:51,,,,,,,,,,,scissors_lift,https://token-thailand.local/wp-content/uploads/2021/04/tips-05.jpg,https://token-thailand.local/wp-content/uploads/2021/04/tips-05.pdf,https://token-thailand.local/wp-content/uploads/2021/04/tips-05.jpg,,,,,,,,
2472,การแก้ไขปัญหารถกระเช้า JLG Boom Lift ระบบไฟฟ้า,"<p> 1. สัญลักษณ์ Error อาการ : ไฟจะกระพริบที่สัญลักษณ์ ถ้าระบบมีปัญหาขึ้น </p>
<p> 2. ตัวปรับความเร็ว เต่า-กระต่าย อาการ : บังคับบูมและฟังก์ชั่นอื่นๆช้า </p>
<p> 3. ลิมิตสวิทช์ อาการ : รถจะเดินหน้าถอยหลังช้า กรณีที่เก็บบูมไม่เรียบร้อย </p>
<p> 4. ฟุตสวิทช์ อาการ : ต้องดึงสวิทช์ E-stop ก่อนถึงเหยียบฟุตสวิทช์ </p>
<p> 5. ทิลเซ็นเซอร์ อาการ : ไม่สามารถยกบูมได้ เนื่องจากพื้นที่ลาดเอียง </p>
<p> 6. รถหันหน้าผิดด้าน อาการ : จะทำให้ไม่สามารถเดินหน้า-ถอยหลังได้(ที่ถูกต้องคือต้องเห็นหมายเลขรถ) </p>
<p> 7. พาวเวอร์ปลั๊ก อาการ : ชาร์ตแบตไม่เข้า เพราะสายด้านในพาวเวอร์ปลั๊กอาจจะหลุด </p>
<p> 8. Error Code BCI(E450) อาการ : แสดงตำแหน่งที่เกิดปัญหา </p>
",,2021-04-06 15:40:09,tips,https://token-thailand.local/tips/%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b9%81%e0%b8%81%e0%b9%89%e0%b9%84%e0%b8%82%e0%b8%9b%e0%b8%b1%e0%b8%8d%e0%b8%ab%e0%b8%b2%e0%b8%a3%e0%b8%96%e0%b8%81%e0%b8%a3%e0%b8%b0%e0%b9%80%e0%b8%8a%e0%b9%89%e0%b8%b2-j/,2472,th,https://token-thailand.local/wp-content/uploads/2021/04/tips-06.jpg|https://token-thailand.local/wp-content/uploads/2021/04/tips-06.jpg,การแก้ไขปัญหารถกระเช้า JLG Boom Lift ระบบไฟฟ้า|การแก้ไขปัญหารถกระเช้า JLG Boom Lift ระบบไฟฟ้า,|,|,รถกระเช้า JLG Boom Lift ระบบไฟฟ้า|,,https://token-thailand.local/wp-content/uploads/2021/04/tips-06.pdf|https://token-thailand.local/wp-content/uploads/2021/04/tips-06.pdf,,,,,,,,,field_606c0899a5873,1,,,,,,,,,,publish,1,tokenweb,t-gondo@token-thailand.local,,,%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b9%81%e0%b8%81%e0%b9%89%e0%b9%84%e0%b8%82%e0%b8%9b%e0%b8%b1%e0%b8%8d%e0%b8%ab%e0%b8%b2%e0%b8%a3%e0%b8%96%e0%b8%81%e0%b8%a3%e0%b8%b0%e0%b9%80%e0%b8%8a%e0%b9%89%e0%b8%b2-j,,,0,0,0,closed,closed,2022-11-03 4:45:51,,,,,,,,,,,boom_lift,https://token-thailand.local/wp-content/uploads/2021/04/tips-06.jpg,https://token-thailand.local/wp-content/uploads/2021/04/tips-06.pdf,https://token-thailand.local/wp-content/uploads/2021/04/tips-06.jpg,,,,,,,,
2476,การแก้ไขปัญหารถกระเช้า JLG Scissor Lift ระบบไฟฟ้า,"

1. จุดบังคับด้านบน P-Con อาการ : จะแสดง error จุดที่เกิดปัญหา เกิดจากการใช้งานผิดของผู้ใช้(มีไฟกระพริบจุดที่เกิดปัญหาเป็นสัญลักษณ์)

2. จอยสติกซ์ อาการ : ไม่สามารถบังคับขึ้น-ลง และ เดินหน้า-ถอยหลัง ได้ เลี้ยวไม่ได้ เกิดจากลิมิตสวิทช์เสีย

3. ทิลเซ็นเซอร์ อาการ : ไม่สามารถยกบูมได้ เนื่องจากพื้นที่ลาดเอียง

4. สวิทช์กุญแจ อาการ : ต้องบิดสวิทช์กุญแจให้ถูกต้อง บังคับด้านบนหรือด้านล่าง

5. Pothole Guard อาการ : ขึ้นได้นิดเดียว เพราะเปิดออกไม่สุด

6. ไฟแสดงแบตเตอรี่ (3246ES) อาการ : ไฟแสดงจำนวนแบตเตอรี่เหลือน้อย จะไม่ค่อยสว่างทำให้มองเห็นไม่ชัด

7. สวิทช์ฉุกเฉิน อาการ : ต้องเปิดสวิทช์ฉุกเฉินทั้งด้านบนและด้านล่าง จะใช้งานได้ปกติ

8. ฟังก์ชั่นการทำงาน อาการ : ต้องเลือกฟังก์ชั่นให้ถูกต้อง A(8M) หรือ B(10M) ยืดบูมสูงจะรับน้ำหนักได้น้อยลง ภานนอก-ภายใน คือ ภายนอกจะยืดบูมขึ้นได้น้อยกว่าภายใน

9. BCI (Charger) อาการ : สถานะระดับแบตเตอรี่

10. พาวเวอร์ปลั๊ก อาการ : ชาร์ตแบตไม่เข้า เพราะสายด้านในพาวเวอร์ปลั๊กอาจจะหลุด

",,2021-04-06 15:42:16,tips,https://token-thailand.local/tips/%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b9%81%e0%b8%81%e0%b9%89%e0%b9%84%e0%b8%82%e0%b8%9b%e0%b8%b1%e0%b8%8d%e0%b8%ab%e0%b8%b2%e0%b8%a3%e0%b8%96%e0%b8%81%e0%b8%a3%e0%b8%b0%e0%b9%80%e0%b8%8a%e0%b9%89%e0%b8%b2-4/,2476,th,https://token-thailand.local/wp-content/uploads/2021/04/tips-07.jpg|https://token-thailand.local/wp-content/uploads/2021/04/tips-07.jpg,การแก้ไขปัญหารถกระเช้า JLG Scissor Lift ระบบไฟฟ้า|การแก้ไขปัญหารถกระเช้า JLG Scissor Lift ระบบไฟฟ้า,|,|,JLG Scissor Lift ระบบไฟฟ้า|,,https://token-thailand.local/wp-content/uploads/2021/04/tips-07.pdf|https://token-thailand.local/wp-content/uploads/2021/04/tips-07.pdf,,,,,,,,,field_606c0899a5873,1,,,,,,,,,,publish,1,tokenweb,t-gondo@token-thailand.local,,,%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b9%81%e0%b8%81%e0%b9%89%e0%b9%84%e0%b8%82%e0%b8%9b%e0%b8%b1%e0%b8%8d%e0%b8%ab%e0%b8%b2%e0%b8%a3%e0%b8%96%e0%b8%81%e0%b8%a3%e0%b8%b0%e0%b9%80%e0%b8%8a%e0%b9%89%e0%b8%b2-4,,,0,0,0,closed,closed,2022-11-03 4:45:51,,,,,,,,,,,scissors_lift,https://token-thailand.local/wp-content/uploads/2021/04/tips-07.jpg,https://token-thailand.local/wp-content/uploads/2021/04/tips-07.pdf,https://token-thailand.local/wp-content/uploads/2021/04/tips-07.jpg,,,,,,,,
2479,การแก้ไขปัญหารถกระเช้า Skymaster Aichi,"

1. แนวตั้ง-แนวนอน อาการ: บังคับจอยสติกผิดทิศทาง

2. สวิทช์ฉุกเฉิน อาการ:ตัดระบบเซฟตี้ ไม่สามารถบังคับบูมและกระเช้าได้

3. ลิมิตสวิทช์ของบูม อาการ:ถ้าเก็บบูมไม่เรียบร้อยจะเก็บขาช้างไม่ได้

4. สวิทช์ฉุกเฉิน อาการ:ตัดระบบเซฟตี้ ไม่สามารถบังคับบูมและกระเช้าได้

5. ชั่งน้ำหนัก อาการ: เวลาไม่มีคนบนตัวกระเช้าจะบังคับไม่ได้

6. แนวตั้ง-แนวนอน อาการ: บังคับจอยสติกผิดทิศทาง

7. ฟุตสวิทซ์ อาการ: ถ้าไม่เหยียบฟุตสวิทช์ จะบังคับบูมและกระเช้าไม่ได้

8. ไฟขาช้าง อาการ: ถ้ากางขาช้างไม่เรียบร้อย จะมีไฟกระพริบ ทำให้บังคับบูมและกระเช้าไม่ได้

",,2021-04-06 15:44:19,tips,https://token-thailand.local/tips/%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b9%81%e0%b8%81%e0%b9%89%e0%b9%84%e0%b8%82%e0%b8%9b%e0%b8%b1%e0%b8%8d%e0%b8%ab%e0%b8%b2%e0%b8%a3%e0%b8%96%e0%b8%81%e0%b8%a3%e0%b8%b0%e0%b9%80%e0%b8%8a%e0%b9%89%e0%b8%b2-s/,2479,th,https://token-thailand.local/wp-content/uploads/2021/04/tips-08.jpg|https://token-thailand.local/wp-content/uploads/2021/04/tips-08.jpg,การแก้ไขปัญหารถกระเช้า Skymaster Aichi|การแก้ไขปัญหารถกระเช้า Skymaster Aichi,|,|,รถกระเช้า Skymaster Aichi|,,https://token-thailand.local/wp-content/uploads/2021/04/tips-08.pdf|https://token-thailand.local/wp-content/uploads/2021/04/tips-08.pdf,,,,,,,,,field_606c0899a5873,1,,,,,,,,,,publish,1,tokenweb,t-gondo@token-thailand.local,,,%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b9%81%e0%b8%81%e0%b9%89%e0%b9%84%e0%b8%82%e0%b8%9b%e0%b8%b1%e0%b8%8d%e0%b8%ab%e0%b8%b2%e0%b8%a3%e0%b8%96%e0%b8%81%e0%b8%a3%e0%b8%b0%e0%b9%80%e0%b8%8a%e0%b9%89%e0%b8%b2-s,,,0,0,0,closed,closed,2022-11-03 4:45:51,,,,,,,,,,,skymaster,https://token-thailand.local/wp-content/uploads/2021/04/tips-08.jpg,https://token-thailand.local/wp-content/uploads/2021/04/tips-08.pdf,https://token-thailand.local/wp-content/uploads/2021/04/tips-08.jpg,,,,,,,,
2482,การแก้ไขปัญหารถกระเช้า Skyboy Tadano,"

1. ลิมิตสวิทช์ของบูม อาการ:ถ้าเก็บบูมไม่เรียบร้อยจะเก็บขาช้างไม่ได้

2. แนวตั้ง-แนวนอน อาการ: บังคับบูมและกระเช้าผิดทิศทาง

3. กราวด์คอนโทรล อาการ:หน้าจอแสดงระบบเซฟกี่%(ถ้าเกิน100%เซฟตี้ตัด)

4. สวิทช์ฉุกเฉิน อาการ: ตัดระบบเซฟตี้ ไม่สามารถบังคับบูมและกระเช้าได้

5. สวิทช์ฉุกเฉิน อาการ: ตัดระบบเซฟตี้ ไม่สามารถบังคับบูมและกระเช้าได้

6. ฟุตสวิทช์ อาการ: ถ้าไม่เหยียบฟุตสวิทช์ จะบังคับบูมและกระเช้าไม่ได้

7. รหัส Error อาการ: มีตัวอักษรพร้อมเลข3หลักแสดงที่หน้าจอ

8. กล่องฟิวส์ อาการ: ไฟไม่มาให้เช็คตรงนี้

9. แนวตั้ง-แนวนอน อาการ: บังคับบูมและกระเช้าผิดทิศทาง

10. ไฟขาช้าง อาการ: ถ้ากางขาช้างไม่เรียบร้อย จะมีไฟกระพริบ ทำให้บังคับบูมและกระเช้าไม่ได้

",,2021-04-06 15:46:19,tips,https://token-thailand.local/tips/%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b9%81%e0%b8%81%e0%b9%89%e0%b9%84%e0%b8%82%e0%b8%9b%e0%b8%b1%e0%b8%8d%e0%b8%ab%e0%b8%b2%e0%b8%a3%e0%b8%96%e0%b8%81%e0%b8%a3%e0%b8%b0%e0%b9%80%e0%b8%8a%e0%b9%89%e0%b8%b2-5/,2482,th,https://token-thailand.local/wp-content/uploads/2021/04/tips-09.jpg|https://token-thailand.local/wp-content/uploads/2021/04/tips-09.jpg,การแก้ไขปัญหารถกระเช้า Skyboy Tadano|การแก้ไขปัญหารถกระเช้า Skyboy Tadano,|,|,รถกระเช้า Skyboy Tadano|,,https://token-thailand.local/wp-content/uploads/2021/04/tips-09.pdf|https://token-thailand.local/wp-content/uploads/2021/04/tips-09.pdf,,,,,,,,,field_606c0899a5873,1,,,,,,,,,,publish,1,tokenweb,t-gondo@token-thailand.local,,,%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b9%81%e0%b8%81%e0%b9%89%e0%b9%84%e0%b8%82%e0%b8%9b%e0%b8%b1%e0%b8%8d%e0%b8%ab%e0%b8%b2%e0%b8%a3%e0%b8%96%e0%b8%81%e0%b8%a3%e0%b8%b0%e0%b9%80%e0%b8%8a%e0%b9%89%e0%b8%b2-5,,,0,0,0,closed,closed,2022-11-03 4:45:30,,,,,,,,,,,skymaster,https://token-thailand.local/wp-content/uploads/2021/04/tips-09.jpg,https://token-thailand.local/wp-content/uploads/2021/04/tips-09.pdf,https://token-thailand.local/wp-content/uploads/2021/04/tips-09.jpg,,,,,,,,
